Binary Search Tree				
Size	Ordered	Random	Ordered_Contains	Random_Contains
2590	0.045338354	0.000778131	0.012561066	0.000009555
2600	0.04629552	0.000776014	0.013901272	0.000008903
2610	0.044894079	0.000798814	0.013207283	0.000009337
2620	0.045458868	0.000813526	0.012942586	0.000009337
2630	0.045617817	0.000795123	0.012988838	0.000008686
2640	0.046761292	0.000802886	0.013722563	0.00000912
2650	0.047544961	0.000836922	0.013614643	0.000009338
2660	0.04727896	0.000805002	0.013430941	0.000010206
2670	0.047195578	0.000816457	0.013864574	0.000009337
2680	0.046917417	0.000833774	0.013727124	0.00000912
2690	0.04960543	0.000832905	0.015983238	0.000008903
2700	0.048246115	0.000848757	0.013691077	0.000008903
2710	0.048589852	0.000834534	0.014230244	0.00000912
2720	0.048740549	0.00082422	0.014380507	0.00000912
2730	0.051828539	0.000924974	0.014936392	0.000014549
2740	0.050268149	0.000824817	0.01448821	0.000009337
2750	0.05019063	0.000849734	0.014322312	0.000009337
2760	0.050676379	0.000842568	0.014990461	0.00000912
2770	0.053482299	0.000845011	0.014899261	0.000010857
2780	0.051196653	0.000824545	0.014671695	0.000010206
2790	0.053773922	0.000874325	0.01563277	0.000009772
2800	0.051515201	0.00086108	0.01497917	0.000009554
2810	0.058373009	0.000988271	0.016284416	0.000015635
2820	0.051171682	0.000859126	0.01464694	0.00000912
2830	0.053669043	0.0008588	0.016111135	0.000022366
2840	0.053822563	0.001014003	0.015388266	0.000009555
2850	0.05634294	0.00088502	0.016940404	0.000009771
2860	0.054528928	0.000872154	0.01489709	0.000009771
2870	0.059922107	0.0009025	0.016714141	0.000014332
2880	0.054631636	0.000877474	0.015894427	0.000009554
2890	0.058065317	0.000890883	0.015958701	0.000010205
2900	0.055900186	0.000908146	0.01621341	0.000009771
2910	0.054904369	0.000887246	0.015558506	0.000011943
2920	0.058252712	0.000893759	0.01681837	0.000010206
2930	0.056040025	0.000889145	0.016004953	0.000009989
2940	0.058641397	0.000889471	0.016381913	0.000009989
2950	0.057041272	0.000894846	0.01656149	0.000009989
2960	0.063078061	0.000967534	0.018176165	0.000011074
2970	0.060415021	0.001291674	0.01735341	0.000011726
2980	0.062631399	0.000960043	0.018223285	0.000010423
2990	0.0574039	0.000903966	0.01626509	0.000010857
3000	0.065948256	0.000975188	0.017364485	0.000010206
3010	0.059497592	0.000946743	0.017103045	0.00001368
3020	0.060912929	0.001038866	0.017544496	0.000013463
3030	0.059602689	0.000945168	0.017435708	0.000010423
3040	0.060087787	0.000921391	0.017327787	0.000010206
3050	0.06140693	0.0009576	0.017537547	0.000009988
3060	0.062864393	0.001121272	0.01849797	0.000016068
3070	0.061450792	0.000940174	0.017789433	0.000010423
3080	0.062345204	0.000963083	0.018390702	0.000010857
3090	0.064995434	0.000962323	0.018795022	0.000015852
3100	0.064315125	0.000963083	0.018382885	0.00001064
3110	0.065570862	0.000969597	0.018568107	0.00001064
3120	0.067075011	0.000954668	0.019172416	0.000010206
3130	0.065434497	0.000985829	0.019290759	0.000013897
3140	0.066276794	0.000965363	0.019015205	0.000010423
3150	0.066560816	0.00097584	0.018656051	0.00001064
3160	0.066562989	0.00102448	0.019573696	0.000011291
3170	0.06771428	0.000974211	0.019530702	0.000011509
3180	0.065474451	0.000991257	0.019102496	0.000010857
3190	0.067722965	0.00100434	0.018852999	0.00001064
3200	0.06817636	0.000996035	0.020001468	0.00001064
3210	0.077554328	0.000989683	0.019593891	0.000018023
3220	0.06932244	0.001006186	0.020377777	0.000011291
3230	0.068553103	0.001002168	0.019662725	0.000011292
3240	0.069127229	0.001017477	0.019977582	0.000010858
3250	0.069362612	0.00099712	0.020542154	0.000013463
3260	0.073413413	0.001021494	0.020304817	0.000011074
3270	0.070955572	0.001023937	0.020845286	0.00001064
3280	0.072943733	0.00100624	0.020632702	0.000012811
