BST
Size;Add_Ordered;Add_Random;Remove_Ordered;Remove_Random;Contains_Ordered;Conrains_Random
3470;79748123;1098254;23202154;14549;23137446;12594
3480;78875426;1083000;21976817;13897;22282771;11726
3490;81222523;1098960;23203023;14114;23251663;12595
3500;83174204;1106017;23976051;14766;24011229;11942
3510;83683621;1252751;24368429;19543;23722211;15634
3520;83454535;1102760;23876383;14114;24124144;15635
3530;85321530;1169314;24489595;14983;24618795;18240
3540;84992341;1118123;23989080;14549;23763034;12377
3550;84173279;1271642;24347801;14983;24334554;12377
3560;84168719;1172354;26746144;18240;25021812;19543
3570;84055152;1130717;24091355;14549;24235103;12160
3580;83936809;1151183;25168167;14331;24008189;12160
3590;85583621;1246563;24925834;21932;24678944;17588
3600;84840342;1154169;24112417;14765;24142383;11943
3610;85670044;1153354;24902166;14549;24670909;16720
3620;89004708;1184677;25323206;14549;25004658;12811
3630;92268583;1220289;25667161;14983;26006121;12594
3640;97128459;1344874;24554738;18023;28164304;832308
3650;87905965;1174145;28719755;16069;28321733;13680
3660;88027348;1174635;25624818;15417;26789572;13246
3670;88714605;1166926;29694510;16720;27464670;13028
3680;89428789;1174634;25589858;15200;26725732;24972
3690;90185531;1160900;24864601;14983;25328201;12160
3700;92376937;1194014;26845596;14766;26448875;24320
3710;88554788;1272837;25789195;22582;25496052;19326
3720;92339589;1166003;25645446;15200;26181573;12377
3730;91789131;1196946;26792178;14982;29896236;12812
3740;95092527;1206174;27244922;16068;27675733;18023
3750;94275635;1217737;26919859;15200;26986738;16068
3760;93257235;1195263;26500120;15417;27086624;13029
3770;95102950;1212906;30262122;15634;27290738;13246
3780;94146870;1197652;27032990;15852;27081195;12811
3790;97202070;1224957;29649996;15417;27893310;12595
3800;96059247;1246237;27037333;15634;28052258;13463
3810;97244630;1228594;27979950;14983;28627036;12594
3820;96001487;1265183;27447298;15417;27263161;12377
3830;94964196;1211928;27470315;15634;27711344;13463
3840;101857615;1230548;28359733;15417;28901938;12595
3850;98177259;1292054;27928487;18891;27925013;13246
3860;99801271;1264911;28921482;15852;29667367;13028
3870;102484506;1299491;31285082;15417;28861333;13028
3880;102962220;1248897;29421996;15851;28895859;12595
3890;99900505;1293357;28980761;16285;29055459;13029
3900;107941958;1302423;30177002;15851;30603036;16069
3910;101475008;1234946;28347139;15634;29265653;17806
3920;100951477;1272783;28667208;16069;29314075;14331
3930;102191146;1326797;30038682;15634;30140956;13246
3940;103235386;1281034;29948784;16286;30074945;12595
3950;101450255;1492314;30349847;27794;30645162;20194
3960;105667387;1361594;30215001;16720;30129447;14331
3970;110075387;1274900;30613242;16069;30609768;13463
3980;104167364;1311272;28702601;15852;28947756;12811
3990;110295570;1266974;29849116;15634;30786957;13029
4000;106289284;1281143;30156807;18457;30461676;18023
4010;118677505;1568151;34711597;25189;34204134;22148
4020;109406804;1297591;31332202;18022;34278180;14766
4030;109184233;1395306;31728488;16937;35811209;14331
4040;109827627;1368489;37868421;16069;31348054;13680
4050;109547948;1303237;32044431;17371;32469380;13029
4060;113398977;1383634;31857688;16503;33068260;15634
4070;109612656;1349814;31773219;18023;31492454;13897
4080;113974405;1634054;33741403;16286;32877392;13897
4090;111583880;1313986;32604660;16503;32154522;13680
4100;116208589;1326417;33263037;16286;34083837;13246
4110;118768270;1324246;31878099;16720;32707151;13897
4120;110574382;1359966;32114351;16503;32196431;13897
4130;112865892;1339717;32575345;26708;32802911;15635
4140;119333927;1342974;32830488;18240;33215700;13463
4150;113671057;1356980;31977334;17371;31191711;16720
4160;113550977;1359803;33277368;16503;33008763;13680
4170;115389526;1374677;33081071;17589;33195072;14766
4180;113237640;1367892;32977060;16720;32672842;13246
4190;115598635;1357143;33964626;17154;33864523;14332
4200;115854864;1354211;33709483;17589;33998065;14331
4210;115432086;1367186;33567037;17372;33669094;14114
4220;114341160;1591168;33845631;16720;32334968;14331
4230;117967229;1455346;33992420;17154;34093392;13463
4240;118310533;1431406;34237357;16937;34584134;14332
4250;120095448;1413274;34685323;17371;35457700;14115
4260;122196305;1428692;34483597;17372;34640157;14548
4270;118509002;1418431;35482020;17154;34729186;14115
