TreeSet						
Size	Add_Ordered	Add_Random	Remove_Ordered	Remove_Random	Contains_Ordered	Conrains_Random
880	0.000075565	0.00009424	0.000047554	0.000003691	0.000038652	0.000004126
890	0.000081212	0.000099397	0.000047989	0.000008034	0.000038651	0.000008034
900	0.000082732	0.000101731	0.000049292	0.000004995	0.000040388	0.000004994
910	0.000090331	0.000104825	0.000050377	0.0000076	0.000039086	0.000007383
920	0.00007752	0.000101243	0.00004864	0.000004343	0.000039303	0.000003474
930	0.000079257	0.000102708	0.000050595	0.000003691	0.000039954	0.000004126
940	0.000080995	0.000105966	0.00004864	0.000004126	0.000041474	0.000003908
950	0.000085771	0.000103034	0.00005168	0.000003909	0.000041692	0.000003908
960	0.000081863	0.000101514	0.000050594	0.000004777	0.000041475	0.000003909
970	0.000089246	0.000108246	0.000049943	0.000005863	0.000042343	0.000005645
980	0.00008512	0.000105857	0.000056892	0.000004777	0.000044731	0.000004994
990	0.000097932	0.00011894	0.000059063	0.000005646	0.0000912	0.000005863
1000	0.000153086	0.0001083	0.00005472	0.00000456	0.000043645	0.00000456
1010	0.000089028	0.000112262	0.000052766	0.000007817	0.000043863	0.000004994
1020	0.000099234	0.000122631	0.000060582	0.000007165	0.000049292	0.000006732
1030	0.000085772	0.000113674	0.000051246	0.000004342	0.000041691	0.000004125
1040	0.000095543	0.000113348	0.000055805	0.000004777	0.000045166	0.00000456
1050	0.000113566	0.000135931	0.000064709	0.000009337	0.000052983	0.00000912
1060	0.00009424	0.000115357	0.00005928	0.000005862	0.000046034	0.000005646
1070	0.000099886	0.00013224	0.000055371	0.00000456	0.000046251	0.00000456
1080	0.000090548	0.000119537	0.000055154	0.000005429	0.000044949	0.000005428
1090	0.00010336	0.000122359	0.00005928	0.000008034	0.000048422	0.000007818
1100	0.000102926	0.000122522	0.000060366	0.000005428	0.000048423	0.000005212
1110	0.000098583	0.000127571	0.000058411	0.000005429	0.000051463	0.00000456
1120	0.000113349	0.000136583	0.000064491	0.0000076	0.000056023	0.000006514
1130	0.00009728	0.000135605	0.000056892	0.000006731	0.000046903	0.00000608
1140	0.000099234	0.000118125	0.00005776	0.00000456	0.000046469	0.000004777
1150	0.000096628	0.000128874	0.000078823	0.000005212	0.000046469	0.00000456
1160	0.00010184	0.000134085	0.000058195	0.000007383	0.000048423	0.000017806
1170	0.000105966	0.000131046	0.00006232	0.000005646	0.000052114	0.000004777
1180	0.000116606	0.000134574	0.000066229	0.000006949	0.000052982	0.000006948
1190	0.000116605	0.000143857	0.000067097	0.000009337	0.000053852	0.000011292
1200	0.000113783	0.000138971	0.000064057	0.000007817	0.000056023	0.000007383
1210	0.000116823	0.000141468	0.000063189	0.000008035	0.000054503	0.000009771
1220	0.000118126	0.000141251	0.00007144	0.000007383	0.00005472	0.000007166
1230	0.00011856	0.000144942	0.000067314	0.000009337	0.000055155	0.000010205
1240	0.000129635	0.000161608	0.000072526	0.000009337	0.000061234	0.000008685
1250	0.000117909	0.000144075	0.000068835	0.000008035	0.000055588	0.000008468
1260	0.0001292	0.000368111	0.000074698	0.000009771	0.000058845	0.000012812
1270	0.000114869	0.000145159	0.000070571	0.000010205	0.000056023	0.000009771
1280	0.000123989	0.000152	0.000070355	0.000009338	0.000056674	0.000008902
1290	0.000116172	0.000140545	0.000067966	0.000006732	0.000054937	0.000006514
1300	0.000222354	0.00031198	0.000094457	0.000018675	0.000083383	0.000018891
1310	0.000125291	0.000159545	0.000072526	0.00001368	0.000058629	0.000014332
1320	0.000178492	0.000227783	0.00008664	0.000011508	0.000071006	0.000012594
1330	0.000139623	0.000191194	0.000077955	0.000011291	0.000065143	0.000012377
1340	0.000131806	0.00017404	0.000073394	0.000010857	0.000064492	0.000010206
1350	0.00013224	0.000165463	0.000073611	0.000008903	0.000092503	0.000008034
1360	0.000135932	0.00016226	0.00007448	0.000008903	0.0000608	0.000011291
1370	0.00012768	0.000164323	0.000075131	0.000006297	0.000060801	0.00000608
1380	0.000129852	0.00016302	0.000082731	0.00000608	0.000061669	0.000006297
1390	0.000151349	0.000188805	0.000084469	0.00001064	0.000074263	0.000009337
1400	0.000131154	0.000163345	0.000076651	0.000006297	0.00008816	0.000006297
1410	0.000139405	0.000168611	0.000079909	0.000008034	0.000065142	0.000008903
1420	0.000133326	0.000164811	0.000081863	0.000006514	0.000080126	0.000006297
1430	0.000140275	0.000171162	0.000080343	0.000008469	0.000067748	0.00000912
1440	0.000137886	0.000166494	0.000087726	0.000006514	0.000064708	0.000006297
1450	0.000140709	0.000176971	0.000080343	0.000008251	0.000064491	0.000009772
1460	0.000139406	0.000173932	0.000080777	0.000006514	0.000065794	0.000006297
1470	0.000140709	0.000176808	0.000079257	0.0000076	0.000065577	0.000007817
1480	0.000140708	0.000177243	0.000080125	0.000006731	0.000067315	0.000006949
1490	0.00014288	0.000178166	0.000079692	0.000008469	0.000067097	0.000008468
1500	0.000153954	0.000183594	0.000084034	0.000014331	0.000067749	0.000010858
1510	0.000151566	0.000184409	0.00008208	0.000012595	0.000068834	0.000011942
1520	0.000155691	0.00018544	0.00008208	0.000008035	0.000068183	0.000008468
1530	0.000136366	0.000182834	0.000077954	0.000007166	0.000067532	0.000006732
1540	0.000152	0.000187773	0.000087292	0.000009337	0.00006992	0.000010423
1550	0.000152	0.000197165	0.000086857	0.000008686	0.00006992	0.000009337
1560	0.000147223	0.00018506	0.000093588	0.000006515	0.000070572	0.000006514
1570	0.000150914	0.000192225	0.000089897	0.000007383	0.000073394	0.000007166
1580	0.000273383	0.000311817	0.000106834	0.000018891	0.000092069	0.000020412
1590	0.00015352	0.000187014	0.000086206	0.000007166	0.00007144	0.000007165
1600	0.000154606	0.000192497	0.000087292	0.000006948	0.000072308	0.000006949
