Shell Sort using a gap of 2.0
Count;Sorted;Reverse;Random;Same
490;60444.0;182914.0;195950.0;61629.0
500;61629.0;172642.0;199506.0;61630.0
510;64790.0;172642.0;198716.0;62815.0
520;73481.0;165531.0;188444.0;72691.0
530;11457.0;18568.0;55308.0;11851.0
540;11457.0;18172.0;56889.0;11851.0
550;11852.0;18963.0;54518.0;11852.0
560;12247.0;19358.0;56494.0;11852.0
570;12247.0;20543.0;55704.0;12247.0
580;12247.0;19753.0;60839.0;12642.0
590;12642.0;20543.0;58074.0;12642.0
600;13037.0;21333.0;60444.0;13038.0
610;13037.0;19358.0;61234.0;13037.0
620;13037.0;22124.0;70321.0;13432.0
630;14222.0;82568.0;81382.0;13433.0
640;13827.0;20938.0;75061.0;27654.0
650;25679.0;22124.0;67951.0;15803.0
660;16198.0;25679.0;75062.0;14222.0
670;14617.0;22518.0;73481.0;15013.0
680;14222.0;22124.0;67556.0;14618.0
690;14617.0;23308.0;71507.0;15013.0
700;14618.0;24494.0;75062.0;15012.0
710;15012.0;23704.0;75062.0;15012.0
720;15407.0;24889.0;75456.0;15803.0
730;15407.0;24099.0;74272.0;15408.0
740;15803.0;24889.0;77827.0;17382.0
750;15803.0;26074.0;78222.0;15802.0
760;16198.0;25284.0;81383.0;16198.0
770;16593.0;24889.0;95605.0;16197.0
780;16593.0;27259.0;93630.0;16593.0
790;16592.0;26074.0;88099.0;16988.0
800;17777.0;26074.0;87703.0;17383.0
810;17382.0;26469.0;88098.0;17382.0
820;17383.0;26864.0;89679.0;17383.0
830;17383.0;29629.0;90469.0;17778.0
840;17778.0;29235.0;93630.0;17778.0
850;18172.0;28050.0;91655.0;18173.0
860;20149.0;37531.0;93630.0;18568.0
870;19358.0;31210.0;95210.0;23309.0
880;18568.0;28839.0;102321.0;20938.0
890;18963.0;30025.0;107062.0;18963.0
900;19358.0;30025.0;104296.0;19358.0
910;19358.0;36346.0;99160.0;18963.0
920;19753.0;30420.0;106667.0;19753.0
930;22123.0;30419.0;101136.0;19753.0
940;19753.0;34370.0;103507.0;20148.0
950;20148.0;32000.0;104296.0;20543.0
