Size;Time
1166;395
1167;395
1168;395
1169;396
1170;395
1171;395
1172;395
1173;0
1174;395
1175;395
1176;395
1177;395
1178;790
1179;395
1180;395
1181;0
1182;395
1183;0
1184;395
1185;395
1186;395
1187;0
1188;396
1189;395
1190;395
1191;395
1192;395
1193;395
1194;791
1195;395
1196;395
1197;395
1198;395
1199;395
1200;395
1201;0
1202;395
1203;395
1204;395
1205;0
1206;395
1207;395
1208;395
1209;395
1210;0
1211;395
1212;0
1213;395
1214;395
1215;0
1216;0
1217;395
1218;395
1219;395
1220;395
1221;395
1222;395
1223;395
1224;395
1225;395
1226;395
1227;395
1228;396
1229;395
1230;0
1231;395
1232;0
1233;395
1234;0
1235;790
1236;395
1237;395
1238;395
1239;395
1240;395
1241;395
1242;7506
1243;395
1244;395
1245;395
1246;395
1247;0
1248;0
1249;395
1250;0
1251;395
1252;0
1253;0
1254;0
1255;0
1256;395
1257;395
1258;790
1259;395
1260;790
1261;395
1262;0
1263;0
1264;396
1265;1185
1266;790
1267;0
1268;395
1269;790
1270;395
1271;1185
1272;0
1273;396
1274;395
1275;0
1276;395
1277;395
1278;0
1279;0
1280;790
1281;396
1282;395
1283;790
1284;395
1285;790
1286;790
1287;395
1288;395
1289;790
1290;395
1291;790
1292;395
1293;1185
1294;1185
1295;395
1296;790
1297;0
1298;0
1299;395
1300;395
1301;395
1302;395
1303;1580
1304;395
1305;395
1306;790
1307;395
1308;790
1309;395
1310;790
1311;395
1312;395
1313;395
1314;395
1315;0
1316;790
1317;395
1318;395
1319;0
1320;395
1321;790
1322;395
1323;1186
1324;395
1325;395
1326;395
1327;395
1328;396
1329;395
1330;396
1331;395
1332;0
1333;395
1334;395
1335;0
1336;395
1337;395
1338;0
1339;395
1340;395
1341;790
1342;790
1343;395
1344;395
1345;395
1346;395
1347;395
1348;395
1349;395
1350;395
1351;395
1352;395
1353;395
1354;395
1355;395
1356;395
1357;395
1358;395
1359;395
1360;1185
1361;395
1362;0
1363;790
1364;790
1365;395
1366;790
1367;395
1368;790
1369;790
1370;1976
1371;396
1372;395
1373;790
1374;791
1375;395
1376;395
1377;1185
1378;395
1379;0
1380;395
1381;395
1382;1185
1383;396
1384;395
1385;395
1386;790
1387;395
1388;1580
1389;395
1390;395
1391;395
1392;395
1393;395
1394;396
1395;395
1396;395
1397;395
1398;0
1399;395
1400;395
1401;395
1402;395
1403;395
1404;395
1405;0
1406;0
1407;395
1408;395
1409;1185
1410;0
1411;395
1412;790
1413;395
1414;0
1415;395
1416;395
1417;0
1418;0
1419;395
1420;395
1421;395
1422;395
1423;396
1424;395
1425;395
1426;1185
1427;395
1428;395
1429;395
1430;395
1431;395
1432;396
1433;395
1434;1580
1435;791
1436;395
1437;395
1438;395
1439;0
1440;395
1441;395
1442;395
1443;0
1444;395
1445;395
1446;0
1447;395
1448;395
1449;395
1450;396
1451;395
1452;395
1453;395
1454;395
1455;395
1456;395
1457;0
1458;0
1459;395
1460;1185
1461;395
1462;0
1463;395
1464;395
1465;395
1466;0
1467;395
1468;395
1469;395
1470;396
1471;395
1472;395
1473;0
1474;395
1475;790
1476;395
1477;395
1478;395
1479;395
1480;395
1481;395
1482;396
1483;395
1484;1185
1485;395
1486;395
1487;395
1488;396
1489;395
1490;1185
1491;395
1492;0
1493;395
1494;395
1495;395
1496;395
1497;395
1498;395
1499;395
1500;395
1501;0
1502;0
1503;395
1504;395
1505;395
1506;395
1507;395
1508;396
1509;395
1510;395
1511;790
1512;790
1513;395
1514;395
1515;395
1516;395
1517;395
1518;396
1519;395
1520;395
1521;395
1522;395
1523;790
1524;0
1525;395
1526;395
1527;395
1528;395
1529;790
1530;395
1531;0
1532;395
1533;395
1534;790
1535;790
1536;395
1537;395
1538;395
1539;395
1540;395
1541;0
1542;395
1543;395
1544;395
1545;395
1546;395
1547;395
1548;395
1549;395
1550;790
1551;790
1552;395
1553;395
1554;395
1555;395
1556;395
1557;395
1558;0
1559;395
1560;790
1561;395
1562;395
1563;395
1564;395
1565;395
1566;0
1567;395
1568;790
1569;395
1570;0
1571;395
1572;395
1573;395
1574;396
1575;396
1576;0
1577;395
1578;395
1579;0
1580;396
1581;395
1582;395
1583;395
1584;395
1585;0
1586;395
1587;395
1588;0
1589;395
1590;395
1591;396
1592;395
1593;395
1594;395
1595;395
1596;395
1597;395
1598;395
1599;395
1600;1185
1601;395
1602;395
1603;0
1604;395
1605;395
1606;395
1607;395
1608;395
1609;395
1610;0
1611;395
1612;0
1613;0
1614;790
1615;395
1616;395
1617;395
1618;0
1619;395
1620;395
1621;0
1622;395
1623;395
1624;395
1625;395
1626;395
1627;395
1628;790
1629;395
1630;395
1631;395
1632;396
1633;395
1634;790
1635;395
1636;396
1637;395
1638;395
1639;790
1640;0
1641;395
1642;395
1643;0
1644;395
1645;395
1646;395
1647;790
1648;1185
1649;790
1650;790
1651;790
1652;790
1653;791
1654;1975
1655;790
1656;790
1657;791
1658;790
1659;1580
1660;1580
1661;1186
1662;395
1663;395
1664;395
1665;395
1666;395
1667;790
1668;1580
1669;395
1670;395
1671;396
1672;395
1673;0
1674;395
1675;395
1676;395
1677;395
1678;395
1679;0
1680;395
1681;395
1682;395
1683;0
1684;395
1685;395
1686;395
1687;395
1688;395
1689;395
1690;395
1691;395
1692;395
1693;790
1694;395
1695;395
1696;1581
1697;395
1698;395
1699;0
1700;395
1701;395
1702;395
1703;395
1704;790
1705;395
1706;395
1707;790
1708;1186
1709;395
1710;395
1711;395
1712;790
1713;395
1714;1185
1715;395
1716;395
1717;790
1718;395
1719;395
1720;3160
1721;790
1722;1580
1723;395
1724;790
1725;790
1726;1580
1727;395
1728;2765
1729;1185
1730;395
1731;395
1732;395
1733;395
1734;1185
1735;0
1736;395
1737;0
1738;395
1739;0
1740;395
1741;395
1742;395
1743;0
1744;395
1745;395
1746;396
1747;395
1748;395
1749;395
1750;395
1751;395
1752;395
1753;395
1754;0
1755;395
1756;395
1757;395
1758;395
1759;395
1760;790
1761;395
1762;395
1763;790
1764;0
1765;395
1766;791
1767;395
1768;396
1769;395
1770;791
1771;395
1772;395
1773;394
1774;0
1775;395
1776;395
1777;395
1778;395
1779;396
1780;395
1781;396
1782;395
1783;395
1784;396
1785;395
1786;395
1787;790
1788;395
1789;395
1790;395
1791;395
1792;790
1793;790
1794;395
1795;0
1796;395
1797;790
1798;395
1799;395
1800;395
1801;395
1802;395
1803;395
1804;395
1805;395
1806;395
1807;395
1808;395
1809;395
1810;395
1811;395
1812;1186
1813;395
1814;790
1815;395
1816;790
1817;395
1818;0
1819;395
1820;395
1821;790
1822;0
1823;395
1824;395
1825;395
1826;395
1827;0
1828;0
1829;395
1830;395
1831;395
1832;0
1833;395
1834;395
1835;395
1836;395
1837;395
1838;790
1839;396
1840;395
1841;395
1842;0
1843;395
1844;395
1845;395
1846;395
1847;395
1848;395
1849;395
1850;395
1851;395
1852;790
1853;0
1854;395
1855;396
1856;395
1857;395
1858;395
1859;0
1860;0
1861;790
1862;790
1863;790
1864;395
1865;395
1866;395
1867;395
1868;395
1869;395
1870;395
1871;395
1872;395
1873;395
1874;395
1875;396
1876;790
1877;395
1878;395
1879;395
1880;395
1881;0
1882;395
1883;395
1884;395
1885;395
1886;395
1887;395
1888;395
1889;395
1890;395
1891;395
1892;395
1893;395
1894;395
1895;790
1896;395
1897;395
1898;395
1899;395
1900;790
1901;395
1902;395
1903;395
1904;0
1905;0
1906;395
1907;395
1908;396
1909;395
1910;395
1911;395
1912;395
1913;395
1914;395
1915;395
1916;395
1917;0
1918;790
1919;395
1920;395
1921;395
1922;395
1923;395
1924;395
1925;790
1926;395
1927;395
1928;396
1929;395
1930;395
1931;395
1932;395
1933;395
1934;395
1935;0
1936;395
1937;1185
1938;395
1939;790
1940;790
1941;395
1942;790
1943;395
1944;395
1945;395
1946;395
1947;395
1948;395
1949;0
1950;790
1951;395
1952;790
1953;395
1954;790
1955;1975
1956;395
1957;395
1958;395
1959;0
1960;395
1961;395
1962;0
1963;1185
1964;790
1965;395
1966;395
1967;395
1968;790
1969;790
1970;395
1971;395
1972;395
1973;790
1974;0
1975;395
1976;395
1977;395
1978;395
1979;3161
1980;1185
1981;395
1982;395
1983;395
1984;790
1985;0
1986;0
1987;395
1988;395
1989;790
1990;395
1991;395
1992;395
1993;395
1994;790
1995;395
1996;1185
1997;395
1998;0
1999;395
2000;395
2001;395
2002;395
2003;395
2004;395
2005;395
2006;395
2007;395
2008;0
2009;396
2010;395
2011;1580
2012;395
2013;395
2014;395
2015;395
2016;0
2017;395
2018;395
2019;395
2020;395
2021;790
2022;395
2023;790
2024;395
2025;395
2026;790
2027;395
2028;395
2029;395
2030;1976
2031;4741
2032;791
2033;790
2034;396
2035;395
2036;395
2037;396
2038;395
2039;395
2040;790
2041;395
2042;395
2043;395
2044;395
2045;395
2046;1185
2047;395
2048;395
2049;395
2050;395
2051;395
2052;395
2053;395
2054;395
2055;395
2056;790
2057;395
2058;395
2059;395
2060;395
2061;395
2062;395
2063;395
2064;395
2065;395
2066;395
2067;1185
2068;1581
2069;395
2070;395
2071;395
2072;395
2073;395
2074;395
2075;395
2076;395
2077;395
2078;395
2079;395
2080;395
2081;0
2082;395
2083;395
2084;0
2085;395
2086;395
2087;395
2088;0
2089;395
2090;790
2091;0
2092;396
2093;395
2094;396
2095;790
2096;395
2097;395
2098;0
2099;0
2100;395
2101;395
2102;395
2103;395
2104;395
2105;0
2106;395
2107;395
2108;395
2109;396
2110;395
2111;395
2112;395
2113;395
2114;395
2115;395
2116;395
2117;395
2118;790
2119;395
2120;790
2121;395
2122;395
2123;395
2124;791
2125;395
2126;790
2127;395
2128;395
2129;395
2130;395
2131;395
2132;395
2133;395
2134;791
2135;396
2136;395
2137;395
2138;395
2139;790
2140;395
2141;395
2142;395
2143;395
2144;0
2145;395
2146;396
2147;395
2148;0
2149;790
2150;395
2151;395
2152;395
2153;395
2154;395
2155;790
2156;395
2157;395
2158;790
2159;395
2160;395
2161;395
2162;395
2163;395
2164;395
2165;395
2166;395
2167;790
2168;395
2169;395
2170;0
2171;395
2172;395
2173;790
2174;1580
2175;790
2176;395
2177;395
2178;395
2179;395
2180;395
2181;790
2182;395
2183;395
2184;395
2185;790
2186;0
2187;395
2188;395
2189;395
2190;395
2191;395
2192;395
2193;395
2194;790
2195;0
2196;395
2197;395
2198;395
2199;395
2200;395
2201;395
2202;395
2203;395
2204;396
2205;790
2206;790
2207;395
2208;395
2209;395
2210;395
2211;395
2212;790
2213;395
2214;395
2215;395
2216;395
2217;790
2218;395
2219;395
2220;395
2221;395
2222;395
2223;790
2224;395
2225;395
2226;790
2227;395
2228;0
2229;790
2230;395
2231;395
2232;395
2233;395
2234;395
2235;790
2236;1185
2237;790
2238;790
2239;1185
2240;790
2241;1185
2242;1976
2243;1581
2244;790
2245;791
2246;395
2247;1185
2248;790
2249;1976
2250;1186
2251;790
2252;395
2253;790
2254;395
2255;0
2256;790
2257;790
2258;791
2259;395
2260;395
2261;395
2262;395
2263;790
2264;1185
2265;395
2266;395
2267;396
2268;2370
2269;395
2270;395
2271;395
2272;395
2273;395
2274;395
2275;790
2276;395
2277;395
2278;395
2279;791
2280;395
2281;0
2282;790
2283;395
2284;395
2285;395
2286;396
2287;395
2288;790
2289;395
2290;0
2291;395
2292;395
2293;395
2294;395
2295;395
2296;395
2297;395
2298;395
2299;395
2300;1185
2301;395
2302;395
2303;395
2304;395
2305;395
2306;395
2307;395
2308;395
2309;395
2310;395
2311;395
2312;396
2313;0
2314;395
2315;395
2316;395
2317;395
2318;0
2319;395
2320;395
2321;395
2322;395
2323;396
2324;395
2325;0
2326;395
2327;2371
2328;396
2329;395
2330;1580
2331;395
2332;395
2333;790
2334;790
2335;396
2336;395
2337;395
2338;0
2339;395
2340;395
2341;0
2342;395
2343;0
2344;1581
2345;395
2346;395
2347;1186
2348;0
2349;0
2350;395
2351;395
2352;395
2353;395
2354;1186
2355;395
2356;790
2357;790
2358;790
2359;0
2360;395
2361;395
2362;395
2363;790
2364;395
2365;0
2366;790
2367;790
2368;395
2369;790
2370;395
2371;395
2372;395
2373;395
2374;0
2375;790
2376;790
2377;395
2378;395
2379;395
2380;0
2381;2370
2382;790
2383;0
2384;395
2385;395
2386;395
2387;395
2388;395
2389;790
2390;395
2391;0
2392;395
2393;0
2394;790
2395;790
2396;1580
2397;790
2398;1186
2399;790
2400;4741
2401;1185
2402;790
2403;395
2404;790
2405;395
2406;791
2407;395
2408;395
2409;395
2410;395
2411;395
2412;395
2413;790
2414;395
2415;790
2416;395
2417;395
2418;395
2419;395
2420;395
2421;395
2422;395
2423;395
2424;395
2425;395
2426;395
2427;790
2428;395
2429;395
2430;395
2431;395
2432;395
2433;395
2434;790
2435;395
2436;395
2437;395
2438;395
2439;395
2440;790
2441;395
2442;790
2443;395
2444;395
2445;395
2446;396
2447;395
2448;395
2449;395
2450;396
2451;395
2452;395
2453;395
2454;791
2455;395
2456;395
2457;0
2458;1580
2459;395
2460;395
2461;395
2462;0
2463;395
2464;395
2465;790
2466;395
2467;395
2468;396
2469;395
2470;395
2471;395
2472;790
2473;395
2474;1580
2475;395
2476;1185
2477;790
2478;395
2479;395
2480;395
2481;395
2482;1186
2483;790
2484;395
2485;395
2486;395
2487;1581
2488;790
2489;395
2490;395
2491;395
2492;395
2493;395
2494;790
2495;790
2496;395
2497;790
2498;396
2499;395
2500;791
2501;395
